fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-01-06,17741,4959,15458,4279,0.27952201116058845,0.27681459438478456
2021-01-07,20145,5332,17165,4614,0.26468106229833704,0.2688027963879988
2021-01-08,18515,4876,15650,4146,0.26335403726708073,0.26492012779552715
2021-01-09,7304,2215,6359,1930,0.30325848849945236,0.303506840698223
2021-01-10,5333,1415,4343,1208,0.2653290830676917,0.27814874510706883
2021-01-11,19949,5460,17095,4769,0.273697929720788,0.2789704591985961
2021-01-12,22127,6229,18934,5357,0.2815112758168753,0.28293017851484104
2021-01-13,21973,5783,18785,4993,0.26318663814681653,0.2657971785999468
2021-01-14,27158,7708,23448,6853,0.2838206053464909,0.29226373251450016
2021-01-15,24782,7177,21540,6331,0.2896053587281091,0.2939182915506035
2021-01-16,10281,3032,9036,2729,0.294912946211458,0.3020141655599823
2021-01-17,8336,2395,7114,2105,0.2873080614203455,0.29589541748664605
2021-01-18,24710,7321,21453,6321,0.2962768110076892,0.2946441057194798
2021-01-19,26870,7351,23115,6357,0.2735764793449944,0.27501622323166774
2021-01-20,26153,7377,22613,6431,0.28207089052881124,0.2843939326935833
2021-01-21,26527,6617,22674,5721,0.24944396275492894,0.2523154273617359
2021-01-22,25243,5830,21481,4972,0.23095511626985699,0.23146036031842093
2021-01-23,9135,2297,7735,1990,0.2514504652435687,0.2572721396250808
2021-01-24,7161,1683,6097,1502,0.2350230414746544,0.24635066426111202
2021-01-25,23892,5663,20471,4820,0.2370249455884815,0.23545503395046652
2021-01-26,23641,4917,20234,4297,0.2079861257984011,0.21236532568943361
2021-01-27,26718,5569,23075,4901,0.2084362601991167,0.2123943661971831
2021-01-28,24345,5016,20867,4363,0.20603820086260013,0.20908611683519432
2021-01-29,21828,4266,18894,3663,0.1954370533260033,0.19387107018100985
2021-01-30,8487,1408,7140,1200,0.16590078944267703,0.16806722689075632
2021-01-31,6048,1007,5101,858,0.16650132275132276,0.16820231327190746
2021-02-01,5305,1056,4570,898,0.19905749293119698,0.19649890590809627
2021-02-02,20794,4231,18102,3677,0.2034721554294508,0.20312672632858247
2021-02-03,23115,4022,19979,3433,0.17399956738048886,0.17183042194304018
2021-02-04,19793,3391,16929,2951,0.17132319506896376,0.17431626203556028
2021-02-05,19478,3217,16976,2869,0.16516069411643905,0.16900329877474082
2021-02-06,6493,1071,5622,913,0.16494686585553672,0.1623977232301672
2021-02-07,4568,663,3959,565,0.14514010507880912,0.14271280626420813
2021-02-08,18847,3417,16288,2970,0.18130206398896376,0.18234282907662083
2021-02-09,20025,3405,17223,2896,0.1700374531835206,0.1681472449631307
2021-02-10,19546,3179,16648,2692,0.16264197278215492,0.1617011052378664
2021-02-11,17738,2681,15011,2260,0.15114443567482241,0.15055625874358802
2021-02-12,18156,2804,15588,2465,0.15443930381141222,0.15813446240697973
2021-02-13,5582,958,4890,824,0.17162307416696523,0.1685071574642127
2021-02-14,3757,480,3344,427,0.12776151184455684,0.1276913875598086
2021-02-15,18220,2845,15651,2474,0.15614709110867178,0.15807296658360487
2021-02-16,17277,2640,15038,2312,0.15280430630317762,0.15374384891607926
2021-02-17,17286,2535,14800,2214,0.14665046858729608,0.1495945945945946
2021-02-18,16874,2278,14350,1980,0.13500059262771127,0.13797909407665504
2021-02-19,15777,2376,13737,2089,0.15059897318881918,0.15207104899177404
2021-02-20,5233,831,4461,704,0.1587999235620103,0.15781214974221028
2021-02-21,3578,488,3008,421,0.1363890441587479,0.13996010638297873
2021-02-22,17164,2760,14804,2387,0.1608016779305523,0.16124020534990544
2021-02-23,16764,2570,14404,2288,0.15330470054879503,0.1588447653429603
2021-02-24,16148,2356,13836,2094,0.14590042110478077,0.1513443191673894
2021-02-25,14798,2215,12580,1973,0.14968238951209623,0.1568362480127186
2021-02-26,15081,2073,12905,1816,0.13745772826735628,0.14072065091049982
2021-02-27,4928,781,4083,684,0.15848214285714285,0.16752387950036737
2021-02-28,4097,509,3444,444,0.12423724676592629,0.1289198606271777
2021-03-01,16500,2671,13901,2314,0.16187878787878787,0.16646284439968348
2021-03-02,14874,2179,12694,1892,0.1464972435121689,0.14904679376083188
2021-03-03,15960,2335,13524,2048,0.1463032581453634,0.15143448683821353
2021-03-04,13388,2053,11428,1833,0.15334628025097102,0.1603955197759888
2021-03-05,11542,1795,9822,1596,0.15551897418125107,0.1624923640806353
2021-03-06,5647,719,4664,644,0.12732424296086417,0.13807890222984562
2021-03-07,4000,507,3283,424,0.12675,0.12915016752969843
2021-03-08,14766,2388,12819,2056,0.16172287687931736,0.16038692565722756
2021-03-09,13655,2022,12002,1780,0.1480776272427682,0.14830861523079486
2021-03-10,12276,1759,10423,1553,0.14328771586836103,0.14899740957497842
2021-03-11,12103,1687,10349,1493,0.13938692886061307,0.14426514639095564
2021-03-12,12155,1627,10396,1447,0.13385438091320445,0.13918814928818776
2021-03-13,3900,574,3325,508,0.14717948717948717,0.15278195488721805
2021-03-14,2096,320,1790,277,0.15267175572519084,0.1547486033519553
2021-03-15,2634,352,2295,316,0.13363705391040243,0.13769063180827887
2021-03-16,13734,2017,11851,1772,0.14686180282510558,0.14952324698337693
2021-03-17,13038,1684,11246,1476,0.12916091425065193,0.13124666548105993
2021-03-18,12106,1480,10420,1320,0.12225342805220552,0.12667946257197696
2021-03-19,10904,1235,9317,1094,0.11326118855465885,0.11741977031233229
2021-03-20,3418,507,2897,408,0.1483323581041545,0.14083534691059718
2021-03-21,2394,320,2109,269,0.1336675020885547,0.12754860123281175
2021-03-22,14104,1680,12091,1474,0.1191151446398185,0.12190885782813662
